,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug
17-Jan,1.0,0.9968560586866587,0.9946372201170197,0.9922061000607159,0.9900512648294952,0.9844489645705616,0.9823282552258924,0.9852397905758249,0.9871820704374018,0.9879121240677332,0.9889998488015752,0.9935002246602199,0.9901922542067131,0.9906912291155751,0.9919404036761938,0.9927166091411401,0.9911008154978274,0.9901752739311767,0.9864255626636691,0.9833833952903703,0.9846096824372977,0.9862909322464007,0.9892834415115368,0.9908043413133399,0.9914631204216778,0.989541900350221,0.9936530485268132,0.9857784102313402,0.9851879138077334,0.9878674791190264,0.9873685087173626,0.9841866782321225,0.9815736510681164,0.9819280273856746,0.9804915391158051,0.9855196165323944,0.9880876121546501,0.9765483004528244,0.9191964223671802,0.9010969517619413,0.9118791041127359,0.9070964151043704,0.9343273408835546,0.9312551544378715,0.9408148139501619,0.9537113617078427,0.9619508132481325,0.9425329909407877,0.9553680479149048,0.9586289285763081,0.9591086235602909,0.9543069435126886,0.9416322322744843,0.9482612366940404,0.944285789794268,0.9641880103640766,0.9654165960152301,0.9745046965230971,0.9681254557665026,0.9599211873643853,0.9715143437864595,0.9676429202180137,0.9628711065271794,0.956484758814919,0.9428663349003108,0.9389746010294827,0.9431759664850279,0.949297129484502,0.947833223501183,0.9649385068918764,0.9474601788722666,0.9358217498036459,0.9383576575495457,0.933991409222923,0.9359174763261386,0.9360307883512117,0.9179653251634666,0.9420498619642683,0.9270331862938936,0.9396110512755169,0.9258550824456073,0.9154988806068289,0.8982500580463646,0.8719925640686916,0.8575460841391995,0.8511529402946706,0.847124579722962,0.8414472406596839
17-Feb,0.9968560586866587,1.0,0.9978074554349985,0.9965779027745818,0.9953371157856932,0.9920162942524666,0.9889545287530258,0.9901220696584903,0.9929416437590824,0.992761704544617,0.993330181285532,0.9964615843268899,0.9937839338496394,0.9944206616424299,0.9955144518302734,0.9951270118037453,0.9949870954998801,0.9945357953259646,0.9895142439761789,0.9896369468516748,0.9895446198799847,0.9903338396827418,0.9922520567044998,0.99283310573457,0.9931982866428842,0.9916532341480601,0.9955572841997392,0.9898961940953108,0.9884138862922925,0.9903029137747075,0.9902759780305866,0.9898102812306074,0.9886584806389712,0.9882878349996108,0.9867526753373228,0.9909846714187225,0.9927831197539806,0.9837394326921631,0.9335599634948123,0.9189815289328254,0.9305987964948139,0.9240120148662432,0.9477369849956822,0.9418036715636382,0.9491907221978112,0.9603006701883189,0.970478582791793,0.9530327119460811,0.9663508397975141,0.971028387118652,0.9711581155803882,0.9659470486845951,0.9548320648924904,0.9621692063560489,0.9589514362179204,0.974976128797622,0.9758070157266867,0.984271527747135,0.9792454758926271,0.9716000031969586,0.9814319466005128,0.9781775867205854,0.9731202539116884,0.9672546447332782,0.9562406077788778,0.9527531746405995,0.9579683662352638,0.962194252352021,0.9606658864997538,0.9754544595713937,0.9597718038401588,0.948879738384915,0.9523907645846841,0.9482859432752195,0.9463457405766186,0.9486767862876367,0.9322313411853155,0.9530921008152057,0.9398565198594372,0.9511154827232362,0.938735535635585,0.9302565597406409,0.9153640056942935,0.8913987149098993,0.8783737880775221,0.8728878690207066,0.8692919183245463,0.8636189979523391
17-Mar,0.9946372201170197,0.9978074554349985,1.0,0.9977230728164532,0.9958015030225521,0.9932696545237776,0.9917630923502343,0.993204020810899,0.9951462293381862,0.9928096634028709,0.9931876796196699,0.9945303977137708,0.9912443409201355,0.9921318566881157,0.9938296006216389,0.9935073001908781,0.9948690812760375,0.9945767388353536,0.992139428841478,0.9921955355779479,0.9923625676957348,0.9906134971010897,0.9924758913776736,0.9924767097101138,0.9918299533061896,0.9896721211294633,0.9947863314248225,0.9887162173029888,0.9873646592671408,0.9902398127045304,0.9923142120253784,0.9906286927612401,0.9907669119619731,0.989230725613103,0.9887550864891997,0.9913317374372493,0.9937086203244484,0.9809470033772929,0.9338715603813506,0.9223391362086049,0.9335887853323247,0.9267786744590258,0.9483348846023173,0.9417919170426732,0.947026592519873,0.9586731553574122,0.9715128264874148,0.955693700901627,0.9691352495606601,0.9739585702338679,0.9741235359364064,0.9716445574246129,0.9624867106385194,0.9688274980869831,0.9647611941980908,0.9790929786314064,0.9804247296660612,0.986674789024498,0.982761788831963,0.9758314099929378,0.9844897840978025,0.9822581724260083,0.9791774439567749,0.9748157958635628,0.963750960171492,0.9605817015956407,0.963302324691902,0.9662421945558128,0.9656090352663148,0.979354079599637,0.9655600134090916,0.9559667115354141,0.9584590235557913,0.9556387163517367,0.9540007562847966,0.9564467601329523,0.9392447677193773,0.9582268096953006,0.9443289131958496,0.9524879703307827,0.9434201983396971,0.9360295645819253,0.9210112030650202,0.8994784490288504,0.8872726669236624,0.8817090547739703,0.8803305154241966,0.8761670409540704
17-Apr,0.9922061000607159,0.9965779027745818,0.9977230728164532,1.0,0.9981920218924287,0.9936553337120658,0.9941345251893902,0.9951844333374056,0.9965205302703867,0.9963549819884409,0.9963094478587863,0.9948602209764079,0.993243279250584,0.9939773768961121,0.9950759377333526,0.9932753298871018,0.9952552005435825,0.9962749237848698,0.992141835436969,0.9933841618619275,0.9934294484161266,0.992116652622265,0.9929333223377345,0.9916604137575414,0.9911647997721442,0.9893420948770858,0.9951360854866518,0.9885297381829932,0.985983106363999,0.9891524254274306,0.9935173140082303,0.9940133238740154,0.9927246564496404,0.9923153844744428,0.9897971940662447,0.9926464729368498,0.9941575813806677,0.9839627816612271,0.9419806951821983,0.9321131279924516,0.9429462429281171,0.9340862624614988,0.9539957940909003,0.9464405112325212,0.9523868735451728,0.9621535003273646,0.9747983943020405,0.9604867656886398,0.9728584605767988,0.9780101485858078,0.9787604691883022,0.9761811472260734,0.9658975171884702,0.9727079330832739,0.9689745495152329,0.981173837332424,0.9824271155028231,0.989833846394866,0.9861217043983853,0.9804752874811802,0.9878035328698368,0.9850986984339436,0.9818231384866608,0.9782007582046393,0.967787873642304,0.9655799826586319,0.9678316634578441,0.9712898297463184,0.9687763860577951,0.9811296358501737,0.967864602229534,0.9583621044464996,0.9615134023939935,0.9583964835627238,0.9555241702347951,0.9602609218255803,0.9428526677294812,0.9607572022312492,0.9460508110311947,0.9558563871831824,0.9445969740727764,0.9374740983353093,0.924245526815319,0.903340354211084,0.8911282389437186,0.8855901516462071,0.8850858445649818,0.8831614191740179
17-May,0.9900512648294952,0.9953371157856932,0.9958015030225521,0.9981920218924287,1.0,0.9925876628202113,0.9914926872152113,0.9927423729320135,0.9938740442124713,0.9939107190994558,0.9943937291473874,0.9939640013007103,0.9907694954524314,0.9925696990197088,0.9937751152503385,0.9918879550970784,0.9950887161472043,0.9935512779480009,0.9865572300759764,0.9907717379944752,0.9909240769859622,0.9899874014101115,0.9921145909525514,0.9897060854093227,0.9889938449375584,0.9878579020331278,0.9939975043270545,0.9903055393315093,0.9882516579180948,0.9889901065284488,0.9906352505253473,0.9914894372799227,0.9925644370197982,0.9915565787878982,0.990924443897863,0.992510063303561,0.994979904196644,0.9868830099250694,0.9493995904000087,0.9395554368664164,0.9491860013521544,0.9423637141844019,0.9603934437687622,0.9545718429907978,0.9581454871016063,0.9675659209195954,0.9786573184669012,0.9670014419787377,0.9780153461897269,0.9810210485813585,0.9808233100825118,0.9764140249497185,0.9654963593088604,0.9725016470588198,0.9702816111915746,0.982379091626974,0.9829570070873549,0.9889235450305316,0.9859355609172066,0.9811811016651555,0.9878312140797616,0.9855474060091209,0.9812382176471266,0.9780597679986901,0.9689778591766046,0.9673740489946995,0.970079107496352,0.9747103821771753,0.9723130978963554,0.9819402280071308,0.9705467135972727,0.9620129892659617,0.9649183117142869,0.9616190457971289,0.9592458652781891,0.9628437262182068,0.9477264367992533,0.9647998262734034,0.952115913810623,0.9618193389329251,0.9503238274562424,0.9434831370586679,0.9311500854786698,0.9103260962154273,0.8993579968195752,0.8936563301208902,0.892162890650627,0.8881858931807893
17-Jun,0.9844489645705616,0.9920162942524666,0.9932696545237776,0.9936553337120658,0.9925876628202113,1.0,0.9951552067731864,0.9924164033553102,0.9955056265875476,0.9895331125456696,0.9881211051756515,0.9894198388252049,0.9857835479597296,0.9882272227103492,0.9890925186692803,0.9872757112856752,0.9910255412952461,0.9899639320258778,0.9875428193728063,0.9918134689783614,0.9915091966392173,0.9889353099577902,0.987336491694453,0.9866177350779763,0.9844300459791997,0.983879669978787,0.98849445901687,0.9827895453771257,0.9794045561759044,0.9810463674717795,0.985944279578371,0.9877157892021593,0.9897926929045295,0.9870483423141955,0.9856166780460327,0.9875276122979597,0.9885749964620753,0.9789830451125962,0.9375611781706042,0.9280274349967416,0.9422780155126619,0.9330539471991218,0.9498599157652293,0.9380671460371771,0.9400297591286492,0.9515320950254381,0.9672055489427724,0.9505212904131517,0.9681365324831759,0.9790328460609774,0.9791945989741628,0.9781750675901311,0.9706710147691805,0.9759263966780936,0.9734802069231256,0.9804682333464159,0.9837288380977209,0.9878837203923228,0.9853648599712628,0.9796818183825345,0.9867268892036132,0.9848953406470075,0.9819024853851066,0.9767105081413971,0.9690912069714347,0.9666648690818098,0.968147307462223,0.967717218362392,0.9692777554003036,0.980379302662798,0.9703670313008489,0.9644726247011421,0.9671885507585365,0.963368040515524,0.9569923814805145,0.9627482605602354,0.9483398028786941,0.9639622211229759,0.9501585521389152,0.9544507999743601,0.949872131407734,0.9458526708755994,0.9338426887017198,0.9167964423627631,0.9075899278975543,0.9032890258301445,0.9016867525878264,0.8994937380793515
17-Jul,0.9823282552258924,0.9889545287530258,0.9917630923502343,0.9941345251893902,0.9914926872152113,0.9951552067731864,1.0,0.9978576080391979,0.9979897290644826,0.9932876768931417,0.9906180533131199,0.9888703392663795,0.9873800781576167,0.9882666041236198,0.9891758208408478,0.9858240339390153,0.9901581395850139,0.9928973196782125,0.9933726702800302,0.9941441646598919,0.9942207924568769,0.9915149767562125,0.9887033635949096,0.9888005875686231,0.9868775262965577,0.9844998999927336,0.9888701184016663,0.9781421005977459,0.9746827275016555,0.9804713051780495,0.9906153412857437,0.9929029505312272,0.9917695377952692,0.9905497716498568,0.987249342309407,0.9891905055799387,0.9883317320155318,0.9783814956237928,0.9411380806575049,0.9362577734833875,0.9470471725581058,0.9360757917499241,0.9508341302040423,0.9404763326167557,0.9456608862988315,0.9544424916247717,0.968659046860711,0.9510338584115691,0.9655196467267856,0.9771197598560306,0.9799305675775266,0.9801874504066351,0.9705039278893054,0.9775038377534495,0.9735244743125935,0.9814248743108513,0.983337438091347,0.9901865897561335,0.9864184624748266,0.9808408607411139,0.9877171118511051,0.9859071478864232,0.9853232001455788,0.982307252870007,0.9720385681753798,0.9694642456514584,0.9698981777587957,0.9699209054845079,0.9689111494305069,0.9810493615733696,0.9696794479867777,0.9629538732160756,0.9643749707520125,0.9631583502380124,0.9592132712666335,0.9664385528829829,0.9485200790753711,0.9639629210377262,0.948711169940721,0.9529308951345002,0.9455058150360798,0.9400628581023589,0.9267835306627844,0.9106970520921003,0.8992781089467197,0.8951374929687308,0.8984115719964225,0.9006484129216302
17-Aug,0.9852397905758249,0.9901220696584903,0.993204020810899,0.9951844333374056,0.9927423729320135,0.9924164033553102,0.9978576080391979,1.0,0.997935879622374,0.9946649706172503,0.9921797673421294,0.990040794739207,0.9883075469632127,0.9888712840765564,0.9904377549048792,0.9873115612185843,0.9911697707955708,0.994039835982241,0.9940055641303636,0.9935520529456667,0.993662522262846,0.991564032236525,0.9902315718551672,0.9907124727567628,0.9889620109967135,0.985708668905184,0.9903492704515329,0.9796772013997506,0.9763845325386619,0.9830255872304138,0.9931531779346758,0.9936178109036377,0.992679182433248,0.9913942684354117,0.9886485517925694,0.9902539433347155,0.9905608924987096,0.9790244884499932,0.9406025665987874,0.9361189214690971,0.9446359490560885,0.9356887971575648,0.9516905798034712,0.9437759171601409,0.9496862411021983,0.9584327348870298,0.9713718615045223,0.9539515872739917,0.9663400701856534,0.976145052975722,0.9787110812075407,0.979070975396283,0.9689527908309324,0.975162007491948,0.9708287805862309,0.9815884331895541,0.982495946174541,0.989323526724495,0.9846993835355939,0.9789034470330336,0.9866917127766416,0.9842500736523259,0.9842073693705954,0.9821582232050958,0.9701957725990473,0.9677322603945475,0.9677280064922872,0.969220276715995,0.9673182666799965,0.9791304119910653,0.9664340256810915,0.9592126375213642,0.9608197834745895,0.9597499387299745,0.9584113660640624,0.9635214376234406,0.9456762075459686,0.9623745368649466,0.9461910161090528,0.9513443957039173,0.942561992393789,0.935050246723562,0.9202078028598651,0.9025917952094221,0.8894326286376848,0.8848724798228687,0.8888984736905243,0.891014669190942
17-Sep,0.9871820704374018,0.9929416437590824,0.9951462293381862,0.9965205302703867,0.9938740442124713,0.9955056265875476,0.9979897290644826,0.997935879622374,1.0,0.9955484080102346,0.9939623778471267,0.992712418360858,0.9907752875447104,0.9923371958153613,0.9931685578690674,0.9910699821662169,0.9947471383555464,0.9959164913039188,0.9952461151523211,0.9967599822683836,0.9966269416375568,0.9942007249276117,0.9925119738636533,0.9920207194564513,0.9903861262788106,0.9887205519515433,0.9924667857976163,0.9842896853436695,0.9805657406639874,0.9852944222716921,0.9937953553291785,0.9948613039099988,0.994358331580338,0.9930705265260853,0.9900853102974949,0.9919589405505354,0.9919604427269605,0.9807132702422366,0.9412856396124474,0.9331639224350681,0.9446633163764815,0.9344858054676588,0.9517996198001692,0.9420935328680851,0.9462940866084779,0.9557586650538329,0.9696690339866998,0.9528682677914214,0.9677909444688941,0.9777597801913686,0.9796110637734164,0.9792920350399774,0.9714822594704334,0.9778058790863964,0.9737942274600869,0.9829988115161594,0.9848753104717316,0.9913377328753719,0.9878553563233248,0.981873546464409,0.9893249455319851,0.9871608179918095,0.9861477889374427,0.9821070022225378,0.9728663272296733,0.9706638509193266,0.9711693352210136,0.971299670065887,0.9702912199230268,0.9828673088740084,0.9714530373151469,0.9635776274844459,0.9654301221991403,0.9631890152061093,0.9601664131947857,0.9652093537768566,0.948634860196555,0.9645845966622584,0.9489289323100434,0.9546197656197962,0.9466824443923512,0.9408153749301251,0.9276705819736575,0.9094083023306938,0.8977133158570021,0.8929563153328762,0.8942560217766372,0.8943699128472112
17-Oct,0.9879121240677332,0.992761704544617,0.9928096634028709,0.9963549819884409,0.9939107190994558,0.9895331125456696,0.9932876768931417,0.9946649706172503,0.9955484080102346,1.0,0.998569646817549,0.995126008831732,0.9955379494644123,0.9950570944483133,0.9964782477487247,0.9941122706389187,0.9942412777624735,0.9975241383920523,0.992005373746152,0.9926012729743804,0.992028343663973,0.9921897167011,0.992254417092001,0.991702108966924,0.991887767261811,0.9901445966791296,0.9937587366697405,0.987205149352443,0.9830636987978358,0.9885336932876867,0.9939647086137859,0.9945426571922656,0.9919348394122222,0.9915497026311665,0.9869056736082883,0.9905257373895371,0.990852884837877,0.98436958847033,0.9475191168808631,0.9388968306569827,0.9480443809618609,0.9401347999151122,0.958859181858076,0.9511926514777136,0.9605149197189001,0.9677871109459336,0.978354722789032,0.9639633001081626,0.9737784615537868,0.9796379635607271,0.9815735116761031,0.9781724796871057,0.9666824724847066,0.9740039155810296,0.9698418841869298,0.9826261742756368,0.9823941911043604,0.9910345799706484,0.9871886192453386,0.9821866125421067,0.9886007585802036,0.9850900943028184,0.9825940382977443,0.9797383990513284,0.9686474730116005,0.9660344678377984,0.9683583874796422,0.9715830783817876,0.9663838930655873,0.9788778096436924,0.9647465715303468,0.9541800943307946,0.9573821523824296,0.9549840698966574,0.952506733064473,0.9584554803460699,0.9390767845568024,0.9575655626877817,0.9421367351303569,0.9524466850703118,0.9385009909810431,0.9295433273950371,0.9164260808534852,0.8945474053744868,0.8808916438612958,0.8751423432165055,0.8766679988824566,0.876511710986779
