,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug
17-Jan,1.0,0.9967741550089603,0.9946372201170197,0.9920833310787599,0.9900271940640505,0.9844489645705616,0.9823282552258924,0.9849246689983975,0.9871820704374018,0.9879121240677332,0.9890022336558338,0.9872781446637524,0.9935002246602199,0.9901922542067131,0.9906912291155751,0.991546103306461,0.9927166091411401,0.9911008154978274,0.9901752739311767,0.9864255626636691,0.9806535882868328,0.9846096824372977,0.9862909322464007,0.9892834415115368,0.9908043413133399,0.9914631204216778,0.9892423850602128,0.9936530485268132,0.9857784102313402,0.9851942160910321,0.9878674791190264,0.9873685087173626,0.9841866782321225,0.9814232315653086,0.9819280273856746,0.9804915391158051,0.9855196165323944,0.9879455493523464,0.9765483004528244,0.9125289303318519,0.8676540007765431,0.8987946633574639,0.9191964223671802,0.9010969517619413,0.9118791041127359,0.9058049513194963,0.9343273408835546,0.9312551544378715,0.9405860421510922,0.9537113617078427,0.9619508132481325,0.9422273389429318,0.9553680479149048,0.9586289285763081,0.9591086235602909,0.9536954502722993,0.9416322322744843,0.9482612366940404,0.9440045758327892,0.9641880103640766,0.9654165960152301,0.9742281466511843,0.9681254557665026,0.9599211873643853,0.9712444343856593,0.9676429202180137,0.9628711065271794,0.9563950544284038,0.9428663349003108,0.9389746010294827,0.9425014385571565,0.949297129484502,0.9469991850416087,0.9649385068918764,0.9472298174797329,0.9358217498036459,0.9383766802565803,0.933991409222923,0.9359174763261386,0.9335213317319034,0.9179653251634666,0.9420670028446023,0.9270182535922077,0.9396110512755169,0.9258550824456073,0.9154988806068289,0.8982500580463646,0.8719816101564699,0.8575460841391995,0.8511529402946706,0.847124579722962,0.8414472406596839
17-Feb,0.9967741550089603,1.0,0.9977076262182991,0.9963902140033287,0.9948083723164577,0.991877099651615,0.9888433769585006,0.9896474756001046,0.9928322001797599,0.9926560585728017,0.9932075736029781,0.9900915142248911,0.9963504240747012,0.9936991017897264,0.9943171448963619,0.9949739428483341,0.9950150532198468,0.9948615729257624,0.9944181142239733,0.9894033468034134,0.9869613514715591,0.9894000917899451,0.9902395329992842,0.9921465921410829,0.9927367411121546,0.9931226332278608,0.9912167038151906,0.9954779148469357,0.9897900511118798,0.9882848714526236,0.9901798138157413,0.9901675838669961,0.9897136277790111,0.98836763813922,0.9881723426372712,0.9866541821170886,0.9908934635800416,0.992439923041191,0.9836260716516951,0.9268162486590915,0.8846402400526509,0.9148502949266942,0.9333782932569207,0.9187850815634983,0.9303888640450981,0.9222361731446224,0.9475153507122869,0.9416546317867434,0.9487232415107306,0.9601535947799936,0.9703118318123305,0.9524413879539073,0.9661879495182552,0.9709410367996135,0.9710284507780839,0.9652038937688255,0.9547565660722985,0.9620773245770202,0.958484949340196,0.9748837157933421,0.9757281470186405,0.9838595358357272,0.9791931854381668,0.9715399737545646,0.9810382617121525,0.9781092547012463,0.9730407244536924,0.9670404837053063,0.9561164290601009,0.952635880926152,0.9571290327019958,0.9620660979063201,0.9596274501975481,0.9753413450193956,0.9593390863496732,0.9487658032187389,0.9522635791445102,0.9481131218134651,0.9462154368655639,0.9448357854847257,0.9320592071717185,0.9529527292843367,0.9397200170967701,0.9509875530022988,0.9385655780072211,0.9301233479011369,0.9152441541655884,0.8912283268235969,0.878223770964065,0.8727420521285546,0.8691644568531878,0.8634663509723508
17-Mar,0.9946372201170197,0.9977076262182991,1.0,0.9976093780846617,0.9957907036433115,0.9932696545237776,0.9917630923502343,0.992787777035499,0.9951462293381862,0.9928096634028709,0.9931859505554612,0.9888885144510973,0.9945303977137708,0.9912443409201355,0.9921318566881157,0.9933613654579885,0.9935073001908781,0.9948690812760375,0.9945767388353536,0.992139428841478,0.9897764395978376,0.9923625676957348,0.9906134971010897,0.9924758913776736,0.9924767097101138,0.9918299533061896,0.989281347364011,0.9947863314248225,0.9887162173029888,0.9873622841031258,0.9902398127045304,0.9923142120253784,0.9906286927612401,0.9905708984824318,0.989230725613103,0.9887550864891997,0.9913317374372493,0.9933697739483918,0.9809470033772929,0.9220410928664001,0.8782993305396262,0.9119501728499619,0.9338715603813506,0.9223391362086049,0.9335887853323247,0.9248304761869078,0.9483348846023173,0.9417919170426732,0.9467085331119832,0.9586731553574122,0.9715128264874148,0.9553491578920753,0.9691352495606601,0.9739585702338679,0.9741235359364064,0.9709824716339747,0.9624867106385194,0.9688274980869831,0.9644413349234381,0.9790929786314064,0.9804247296660612,0.9862946043023816,0.982761788831963,0.9758314099929378,0.9841472710177841,0.9822581724260083,0.9791774439567749,0.9746742225979224,0.963750960171492,0.9605817015956407,0.9625734204622297,0.9662421945558128,0.9646983813775584,0.979354079599637,0.9652260259406356,0.9559667115354141,0.9584562587250773,0.9556387163517367,0.9540007562847966,0.9516589833899739,0.9392447677193773,0.9582425899551043,0.944335364222731,0.9524879703307827,0.9434201983396971,0.9360295645819253,0.9210112030650202,0.8994264020737354,0.8872726669236624,0.8817090547739703,0.8803305154241966,0.8761670409540704
17-Apr,0.9920833310787599,0.9963902140033287,0.9976093780846617,1.0,0.9980686314721301,0.9935297651392985,0.994014433181969,0.9946206970662044,0.9964098944659227,0.9962429935108766,0.9962103966046172,0.9919580511825129,0.9947633322736151,0.9931726856067921,0.9938842308382729,0.994504096879921,0.9931843527338344,0.9951252601860997,0.9961594891259933,0.9920263529108857,0.9902110608493934,0.9933111138355036,0.992028210451444,0.9928700895924171,0.9915619872365783,0.9910850883700748,0.9888645729265265,0.9950576111751647,0.9884377498097283,0.9859040370543194,0.9890409429839107,0.9934154952710725,0.993925310651026,0.9923996663903196,0.9922312775349541,0.9897165303450387,0.9925832591696782,0.9938197436887366,0.983918968322593,0.9287918965285764,0.88810425329814,0.9215690907140451,0.9419894153382448,0.9321139810239399,0.9429400854638239,0.9324473700070046,0.9539816211319732,0.9464434764656589,0.9520422565990079,0.9621479618085017,0.9747515574390823,0.9600862421129708,0.9727960961734012,0.9779367278294089,0.978721006424491,0.975366042407786,0.9658314279206871,0.9726592302766801,0.9686400991210262,0.9811540726286949,0.98238921478301,0.9893990895965711,0.98609907734291,0.9804335934518968,0.9874438453701913,0.9850717424147135,0.9817983069562044,0.9780283629105023,0.9677757849951247,0.9655768668144401,0.9670027808275495,0.9712986906107524,0.9677429890380093,0.9811326258529004,0.9675186403733737,0.9583704562112375,0.9615014419331286,0.9584001935769952,0.9555367297227184,0.9540735138315544,0.9428698788648076,0.9607830492522652,0.946080803433147,0.9558647168837185,0.9446147793636723,0.9374884451719584,0.9242606540844727,0.9033058581139397,0.8911535315520364,0.8855775552350806,0.8851094558524772,0.8831975490996431
17-May,0.9900271940640505,0.9948083723164577,0.9957907036433115,0.9980686314721301,1.0,0.9925402205570162,0.9914853988471205,0.9922466626305287,0.9938649181156884,0.993908632306021,0.994392455825133,0.9923138069792493,0.9938653608434689,0.990693529394698,0.9924903400229124,0.993262684703451,0.9918104300795338,0.9950399061167314,0.9935324942301054,0.9865529774413407,0.987207789288652,0.9909244732129908,0.9899905702267694,0.9921182659543538,0.9897022652745575,0.9889775249244382,0.9874091347643567,0.9939945565430026,0.9901991573341837,0.9879112300827206,0.9889812295956664,0.9906287035841617,0.9914929977158354,0.9923663696626885,0.991561030727071,0.9909278765792211,0.9925091621918076,0.9946876396320028,0.9868635930690604,0.9368445336812178,0.8981354520802208,0.9302225947362848,0.9493952939160764,0.9395857692453468,0.9491570136360156,0.9407008551944659,0.9603550777045486,0.9545354458783357,0.9577456562129347,0.9675398121878852,0.9786630394547123,0.9666311909290752,0.9779949702404763,0.9810329260830289,0.9808000090760053,0.9755963037206102,0.9653990030684098,0.9724369892166324,0.9699305069571148,0.982380175798278,0.9829367288615765,0.9885075446678986,0.9859404896231542,0.9811621841193049,0.9874469113945211,0.9855468548523899,0.9812438025676572,0.9778370705780897,0.9689857672760422,0.9673895180448941,0.9692407259966722,0.9747128823087902,0.9712814873835213,0.9819096525372134,0.9701062574900774,0.9620019214388899,0.964821227563401,0.9616047733484808,0.9592693743703724,0.9576477993493604,0.9477209926490496,0.9648076705780188,0.9519792500272386,0.9615519465725318,0.9501827838454554,0.9433118638835127,0.9308490286581488,0.9101362618049454,0.8991430379669935,0.8934055290859205,0.8922181786453013,0.8882207825305566
17-Jun,0.9844489645705616,0.991877099651615,0.9932696545237776,0.9935297651392985,0.9925402205570162,1.0,0.9951552067731864,0.9919907099293621,0.9955056265875476,0.9895331125456696,0.9881210576324471,0.9817728686157339,0.9894198388252049,0.9857835479597296,0.9882272227103492,0.988645433562545,0.9872757112856752,0.9910255412952461,0.9899639320258778,0.9875428193728063,0.989329304791742,0.9915091966392173,0.9889353099577902,0.987336491694453,0.9866177350779763,0.9844300459791997,0.9834923489107142,0.98849445901687,0.9827895453771257,0.9794012079175511,0.9810463674717795,0.985944279578371,0.9877157892021593,0.9895959881617279,0.9870483423141955,0.9856166780460327,0.9875276122979597,0.9883427599980406,0.9789830451125962,0.9241387839197837,0.8824045046556509,0.9141851272658746,0.9375611781706042,0.9280274349967416,0.9422780155126619,0.931429342437762,0.9498599157652293,0.9380671460371771,0.9397136215284425,0.9515320950254381,0.9672055489427724,0.9501644943552129,0.9681365324831759,0.9790328460609774,0.9791945989741628,0.9778044070340177,0.9706710147691805,0.9759263966780936,0.9731456147297316,0.9804682333464159,0.9837288380977209,0.9874937565564865,0.9853648599712628,0.9796818183825345,0.9863662528618359,0.9848953406470075,0.9819024853851066,0.9765406318793869,0.9690912069714347,0.9666648690818098,0.967726355894309,0.967717218362392,0.9686971267649842,0.980379302662798,0.9700190089213298,0.9644726247011421,0.9671452500374887,0.963368040515524,0.9569923814805145,0.9582411354229503,0.9483398028786941,0.9639697512973849,0.9501732158929217,0.9544507999743601,0.949872131407734,0.9458526708755994,0.9338426887017198,0.9167318173330291,0.9075899278975543,0.9032890258301445,0.9016867525878264,0.8994937380793515
17-Jul,0.9823282552258924,0.9888433769585006,0.9917630923502343,0.994014433181969,0.9914853988471205,0.9951552067731864,1.0,0.9974081772414309,0.9979897290644826,0.9932876768931417,0.9906106230238375,0.9851751474378834,0.9888703392663795,0.9873800781576167,0.9882666041236198,0.9887048293199434,0.9858240339390153,0.9901581395850139,0.9928973196782125,0.9933726702800302,0.9918461768513608,0.9942207924568769,0.9915149767562125,0.9887033635949096,0.9888005875686231,0.9868775262965577,0.984088646100135,0.9888701184016663,0.9781421005977459,0.9746775020839988,0.9804713051780495,0.9906153412857437,0.9929029505312272,0.9915892045191338,0.9905497716498568,0.987249342309407,0.9891905055799387,0.9880900811147142,0.9783814956237928,0.9206991509668759,0.8802385916278674,0.9158107886980921,0.9411380806575049,0.9362577734833875,0.9470471725581058,0.9346705134213223,0.9508341302040423,0.9404763326167557,0.9453179222867144,0.9544424916247717,0.968659046860711,0.950778231719082,0.9655196467267856,0.9771197598560306,0.9799305675775266,0.9797570313884656,0.9705039278893054,0.9775038377534495,0.9732873265149334,0.9814248743108513,0.983337438091347,0.9897724573256661,0.9864184624748266,0.9808408607411139,0.987322190653384,0.9859071478864232,0.9853232001455788,0.9821386572434744,0.9720385681753798,0.9694642456514584,0.9694137272009192,0.9699209054845079,0.9682709035585261,0.9810493615733696,0.9693061614122254,0.9629538732160756,0.9643485011848891,0.9631583502380124,0.9592132712666335,0.9613506462865544,0.9485200790753711,0.9639770039655473,0.9487282702231921,0.9529308951345002,0.9455058150360798,0.9400628581023589,0.9267835306627844,0.910639670734125,0.8992781089467197,0.8951374929687308,0.8984115719964225,0.9006484129216302
17-Aug,0.9849246689983975,0.9896474756001046,0.992787777035499,0.9946206970662044,0.9922466626305287,0.9919907099293621,0.9974081772414309,1.0,0.9974937638202807,0.9942496078434637,0.991754297566334,0.9876760270044321,0.9896734902797901,0.9879809943421141,0.9885205706019912,0.9896550536052489,0.9869249950906277,0.9907205279356185,0.9936283792449676,0.9936217065578881,0.9900844939848178,0.9932064542996966,0.9911991361810647,0.989841095115978,0.9903679298289099,0.9886598139139984,0.9849907653362118,0.9899930668690449,0.9792834222520157,0.9760058409622281,0.9826509393217332,0.9928335350549525,0.9933117756662854,0.9920113475202145,0.9909911336982878,0.9882424910019582,0.9898846552372357,0.9899076956941065,0.9787230727447602,0.9181763464750465,0.8767584200516675,0.9159035602799699,0.9401129528213985,0.9355376264423788,0.9440248851714041,0.9333690322049009,0.9511434341089539,0.9433091371175141,0.9489949835492828,0.9580417062224705,0.9708648363299511,0.9530895553883738,0.9657461894321535,0.975494211020242,0.9780873254185973,0.9779581392819022,0.968335644605411,0.9745429075507589,0.9699211287863259,0.9810505347062523,0.9819476112178561,0.9884699778234015,0.9842128075541802,0.9783738277348603,0.9858039088835197,0.9836929524018181,0.9836318259878093,0.9814006088856544,0.9695514180525984,0.9670657979376264,0.9665379557053041,0.968657322636753,0.9659794575261298,0.9785892313158725,0.9654364502949616,0.9585335828385004,0.96005637445583,0.958993310187345,0.9577226237740428,0.9563864580404285,0.9449484068135331,0.9617360433948788,0.945537363701572,0.9507424643264383,0.9418662840948809,0.9343493387138504,0.9194228286869193,0.9017057786896431,0.8885659296650767,0.883979133943367,0.8879925677662169,0.8900956443270354
17-Sep,0.9871820704374018,0.9928322001797599,0.9951462293381862,0.9964098944659227,0.9938649181156884,0.9955056265875476,0.9979897290644826,0.9974937638202807,1.0,0.9955484080102346,0.9939608979008777,0.9879296497551445,0.992712418360858,0.9907752875447104,0.9923371958153613,0.9926911382242511,0.9910699821662169,0.9947471383555464,0.9959164913039188,0.9952461151523211,0.9937695063328558,0.9966269416375568,0.9942007249276117,0.9925119738636533,0.9920207194564513,0.9903861262788106,0.9883174866539874,0.9924667857976163,0.9842896853436695,0.9805281761031117,0.9852944222716921,0.9937953553291785,0.9948613039099988,0.9941376954797286,0.9930705265260853,0.9900853102974949,0.9919589405505354,0.9917301733766446,0.9807132702422366,0.9231691296083896,0.8823684868934871,0.9178712555396452,0.9412856396124474,0.9331639224350681,0.9446633163764815,0.9328518517365655,0.9517996198001692,0.9420935328680851,0.9459566550235425,0.9557586650538329,0.9696690339866998,0.9525957932269132,0.9677909444688941,0.9777597801913686,0.9796110637734164,0.9787273434290101,0.9714822594704334,0.9778058790863964,0.9735412581123531,0.9829988115161594,0.9848753104717316,0.9909290396114517,0.9878553563233248,0.981873546464409,0.9889324427411359,0.9871608179918095,0.9861477889374427,0.9819411676156509,0.9728663272296733,0.9706638509193266,0.9705424748927716,0.971299670065887,0.9695232632850936,0.9828673088740084,0.9710858679790499,0.9635776274844459,0.9654077718141898,0.9631890152061093,0.9601664131947857,0.9581898194007803,0.948634860196555,0.9645994576290451,0.9489410243387011,0.9546197656197962,0.9466824443923512,0.9408153749301251,0.9276705819736575,0.9093748382669563,0.8977133158570021,0.8929563153328762,0.8942560217766372,0.8943699128472112
17-Oct,0.9879121240677332,0.9926560585728017,0.9928096634028709,0.9962429935108766,0.993908632306021,0.9895331125456696,0.9932876768931417,0.9942496078434637,0.9955484080102346,1.0,0.9985640860472819,0.994933026973129,0.995126008831732,0.9955379494644123,0.9950570944483133,0.9960376937801578,0.9941122706389187,0.9942412777624735,0.9975241383920523,0.992005373746152,0.9889342286657992,0.992028343663973,0.9921897167011,0.992254417092001,0.991702108966924,0.991887767261811,0.9897637253560485,0.9937587366697405,0.987205149352443,0.9830374488496549,0.9885336932876867,0.9939647086137859,0.9945426571922656,0.9917412991538485,0.9915497026311665,0.9869056736082883,0.9905257373895371,0.9906591267964177,0.98436958847033,0.929875783780206,0.8927854030800878,0.9277491874251786,0.9475191168808631,0.9388968306569827,0.9480443809618609,0.9384455658224886,0.958859181858076,0.9511926514777136,0.9601889179610641,0.9677871109459336,0.978354722789032,0.9635619369191661,0.9737784615537868,0.9796379635607271,0.9815735116761031,0.9773749505772847,0.9666824724847066,0.9740039155810296,0.969468047932474,0.9826261742756368,0.9823941911043604,0.9906593407233552,0.9871886192453386,0.9821866125421067,0.9882305137741797,0.9850900943028184,0.9825940382977443,0.9795920773739141,0.9686474730116005,0.9660344678377984,0.967488452283678,0.9715830783817876,0.9653713983262037,0.9788778096436924,0.9644185532522773,0.9541800943307946,0.9573547633751127,0.9549840698966574,0.952506733064473,0.9533979787128398,0.9390767845568024,0.957579596440655,0.9421516542688443,0.9524466850703118,0.9385009909810431,0.9295433273950371,0.9164260808534852,0.894520979534045,0.8808916438612958,0.8751423432165055,0.8766679988824566,0.876511710986779
