,0
Region,0
SOC 2 digit code,0
SOC 2 digit label,0
Prioritise using SOC 2 as high or low,29
17-Jan,0
17-Feb,0
17-Mar,0
17-Apr,0
17-May,0
17-Jun,0
17-Jul,0
17-Aug,0
17-Sep,0
17-Oct,0
17-Nov,0
17-Dec,0
18-Jan,0
18-Feb,0
18-Mar,0
18-Apr,0
18-May,0
18-Jun,0
18-Jul,0
18-Aug,0
18-Sep,0
18-Oct,0
18-Nov,0
18-Dec,0
19-Jan,0
19-Feb,0
19-Mar,0
19-Apr,0
19-May,0
19-Jun,0
19-Jul,0
19-Aug,0
19-Sep,0
19-Oct,0
19-Nov,0
19-Dec,0
20-Jan,0
20-Feb,0
20-Mar,0
20-Apr,0
20-May,0
20-Jun,0
20-Jul,0
20-Aug,0
20-Sep,0
20-Oct,0
20-Nov,0
20-Dec,0
21-Jan,0
21-Feb,0
21-Mar,0
21-Apr,0
21-May,0
21-Jun,0
21-Jul,0
21-Aug,0
21-Sep,0
21-Oct,0
21-Nov,0
21-Dec,0
22-Jan,0
22-Feb,0
22-Mar,0
22-Apr,0
22-May,0
22-Jun,0
22-Jul,0
22-Aug,0
22-Sep,0
22-Oct,0
22-Nov,0
22-Dec,0
23-Jan,0
23-Feb,0
23-Mar,0
23-Apr,0
23-May,0
23-Jun,0
23-Jul,0
23-Aug,0
23-Sep,0
23-Oct,0
23-Nov,0
23-Dec,0
24-Jan,0
24-Feb,0
24-Mar,0
24-Apr,0
24-May,0
24-Jun,0
24-Jul,0
24-Aug,0
