,Prioritise using SOC 2 as high or low,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug
Prioritise using SOC 2 as high or low,1.0,-0.00850853355313564,-0.0003464127148841906,-0.00467784053212612,-0.010067215337046919,-0.012155889118711249,0.0008317008183909098,-0.002878443357043167,-0.005820043285712772,-0.005214818376858983,-0.02319871836321874,-0.02577267406903533,-0.03452439845767404,-0.01687968419908417,-0.015841863365618627,-0.016052705000382896,-0.02095091221683702,-0.023578710160485582,-0.020510827986113808,-0.01746907791387563,-0.008800806805642635,-0.011562669682573799,-0.018671083475084477,-0.021794675082888244,-0.026909017608794033,-0.019798096806596558,-0.01618753520507082,-0.015736857137571683,-0.01957271061401704,-0.029448176440300917,-0.02132761137443457,-0.019961435077254713,-0.020685956018573676,-0.011466349654959825,-0.019116571073456677,-0.017401341367721788,-0.019549148314720877,-0.016457458604709797,-0.015238771878074412,-0.02541912598226214,-0.04883366904342674,-0.06647231419731806,-0.06735743602346544,-0.06005996817219223,-0.05988132138844082,-0.05345404015926676,-0.06878627266512687,-0.05912644714584176,-0.06667477147952833,-0.061378590899558515,-0.06280581439935318,-0.0436076304178922,-0.04707928194533491,-0.036693233925572014,-0.03395976372505911,-0.02761248837925064,-0.028649408564087653,-0.024053467085961025,-0.021362079029317693,-0.02486127554585247,-0.022943475659701885,-0.0158750341207908,-0.010952555396803796,-0.014982368584066257,-0.023848246044841103,-0.01823494923480673,-0.02011535785727643,-0.018962446915905224,-0.019320803249354604,-0.0199224572323702,-0.017520141792674044,-0.0230704064833539,-0.02543823764992675,-0.022407392857448732,-0.012518589789623013,-0.023359892335853866,-0.016938293354440206,-0.016574928318596197,-0.01986846730958014,-0.031290989782453205,-0.027869664574627834,-0.019616339571596832,-0.02387645610898616,-0.025388060012967242,-0.026710768798637062,-0.012647512990278572,-0.010271146947315254,-0.006880988657529396,-0.006990491322443566,-0.005225137824323606,-0.008993273043099813,-0.008254066343990476,-0.00751461655771245
17-Jan,-0.00850853355313564,1.0,0.9967990540519367,0.9947828519945615,0.9920594669384206,0.989928780329872,0.984731527759631,0.9826041810115449,0.9850602852442046,0.9872861799279368,0.98752823478998,0.9888701956999503,0.9871562226363805,0.9935373970030917,0.9903346573045886,0.9908117895168744,0.9917418408491759,0.9928535394880385,0.9912624774753517,0.990235160177257,0.9866816047064809,0.980990553510849,0.9850545347769675,0.9869917242511511,0.9895326112752465,0.9912611347769621,0.9919674828560979,0.9900430909556232,0.9939501755902121,0.9861508044896578,0.9853590804264034,0.9890514184136955,0.9884659911032614,0.9846958500015622,0.9820096465146623,0.9827953923252661,0.9812727841604659,0.9866819464407848,0.9885635189257533,0.9782073094952295,0.9123337907401111,0.8665066815553822,0.8983837337972096,0.918718690341306,0.9013953547309826,0.9114442107478368,0.9052476230557494,0.9346821694345586,0.9307932067099642,0.9415193676921291,0.954574685304254,0.9631848187862962,0.9462580513449415,0.9573037129274754,0.9582765597718907,0.9583312375605253,0.9525457306407075,0.9397901610186494,0.9472951674256361,0.942647598821457,0.9635977271046041,0.9650045861384831,0.9741368375902169,0.9676389466023471,0.9589444155759981,0.9708049710509522,0.967026098235413,0.9621942354198465,0.9552295045235738,0.940449402517893,0.9369539165190596,0.9406898893874902,0.9486327292027779,0.9454063982349199,0.9645903356136157,0.9458613455044802,0.933708096750954,0.9365891658553118,0.9319730576281088,0.9338393433883554,0.9310868369578342,0.9154374068079509,0.9405191206454284,0.925205544505641,0.938360896980416,0.9233677066222882,0.9134943683050499,0.8952002864509154,0.8689502890324527,0.8536955525061044,0.8476707769607423,0.843001482631638,0.8382134159219748
17-Feb,-0.0003464127148841906,0.9967990540519367,1.0,0.9977594182634926,0.9964290861680961,0.994882750812543,0.9920309995634161,0.9890831068011708,0.989617293687514,0.9928663805433692,0.992527102677185,0.9933961674009849,0.9905098409238222,0.996430933570896,0.9937612817068457,0.9943296778372008,0.9951738886210841,0.9951647187389203,0.9951487366001539,0.9945888842841244,0.9893262350073491,0.987088651426742,0.9896499726989854,0.9907730357721742,0.9921941394578242,0.9928179336455817,0.9932186769123612,0.9917567118838732,0.9956150546016224,0.9901821241191822,0.9886962538190063,0.9914837646563393,0.991162027860252,0.9899877012894251,0.9888786960658004,0.988784046716567,0.987266871152668,0.9916044629332645,0.9929003693095428,0.9850361313550601,0.9269710002426942,0.8839911164106755,0.9150668280092333,0.933647688766024,0.9197677032900317,0.9304190570429215,0.9223108869027538,0.9483948505808738,0.9419649445482644,0.950066913312314,0.9612734205079658,0.9718947348103739,0.9575604566118125,0.9688173401367045,0.97091533353872,0.9707148224838544,0.9644106726531431,0.953333771562163,0.9613603967402957,0.957769342945633,0.9746402431673058,0.9756162931900365,0.9838322038981587,0.9789581333890492,0.9709208384714757,0.9807284306905963,0.9776719723715267,0.9726166364494597,0.9663031170810282,0.9543695560795941,0.9513247607304159,0.9558837347195783,0.9619551812623317,0.9584950672957044,0.9750482927292279,0.9583052207328276,0.947077227535034,0.9507464802216948,0.9464097168154418,0.9445233856352709,0.9427164550421909,0.9299062729593399,0.9517007709566053,0.9380513941864062,0.949984097134056,0.9363566671999304,0.9283952741661717,0.912564994410554,0.8887014691544585,0.8748838393649403,0.8696672129267131,0.8655687101324017,0.8606088730943012
17-Mar,-0.00467784053212612,0.9947828519945615,0.9977594182634926,1.0,0.9976026289044803,0.9958608870529786,0.99337088303163,0.9918920892737813,0.9926721650817332,0.9951651871103827,0.9927966336733758,0.9935407400352262,0.9890892325468676,0.9945900182169418,0.9912135350487367,0.9920873748458316,0.9935866158239531,0.9935507753394137,0.9950765814447683,0.9946934558707653,0.9920830989545253,0.9897783934903174,0.99245724825317,0.991042220860243,0.992339036347749,0.9924183529325775,0.9917672590615096,0.9895843831219009,0.9947052883759466,0.9886326361821213,0.9872340177949265,0.9911025238484726,0.9928481463503316,0.9905756527954334,0.9906762748745654,0.9895572118897294,0.9889411522712008,0.9917236018169814,0.9936156160122845,0.981854668808984,0.9214814556892389,0.8768648556666763,0.9114304304580715,0.9335583710323607,0.9226765781490213,0.9331654189046035,0.9244195941027293,0.948773106900775,0.9415561939186469,0.9474408132957216,0.9592891796220108,0.9726241960584647,0.9596689855426187,0.9710594711367629,0.973556066952412,0.9735822099638664,0.9700257146931448,0.9609502315868773,0.967938951938979,0.9635014345673344,0.9786863263367902,0.9800552890594195,0.9860049872107555,0.982292989960341,0.9749825390631128,0.9836199807923033,0.9816309710262024,0.9785794458612017,0.9737572262891211,0.9619866759084771,0.9591030891419372,0.9610636051647624,0.9657741250317587,0.9634140677598481,0.9788878296048845,0.9639329054204208,0.9541301374189095,0.9568799181695026,0.9538532588333977,0.9524012567366417,0.9495005300261513,0.9370392208331482,0.9569305371584133,0.9425997236355108,0.951190818550173,0.9412561518546939,0.9342777057563045,0.9183025905283999,0.897002721424119,0.8838916543361323,0.878464005070717,0.87667829045101,0.8734333979567467
17-Apr,-0.010067215337046919,0.9920594669384206,0.9964290861680961,0.9976026289044803,1.0,0.9980785312396231,0.9940394304475081,0.9947303891995428,0.9948190830470992,0.9967991914883458,0.9963315947516255,0.9964617047873569,0.9921081459451483,0.9947100675170704,0.9930420484325628,0.9937879827588568,0.9945516071760596,0.993035508853817,0.9951964068571312,0.9962707811508386,0.9920523078222668,0.9903528626022806,0.9935856999158094,0.9925693467164574,0.9927086226362082,0.991553311486301,0.9910647420030614,0.9891549909252855,0.9949323601519043,0.9881299143520491,0.9856076215345342,0.9894795328961288,0.9937745454865539,0.9940381708891376,0.9926863715552469,0.9925616986310534,0.9899011581318199,0.993011107789049,0.9939126805833355,0.9846503669403313,0.927665712722959,0.8863047318909525,0.9206457381040525,0.9414058871091816,0.932421486369668,0.9426090932313727,0.9318991687794566,0.9540937564944253,0.9457418471155846,0.952234720225972,0.9622831992281481,0.9755472099809548,0.9637228232626099,0.974416955992439,0.9778346072429132,0.9784534916244984,0.9749374721788063,0.9648746801336633,0.9722789025566,0.9681393236166752,0.9809486633140371,0.982311008865193,0.9895316659485454,0.9860406335081521,0.9800992238107673,0.9873975822453493,0.9849178456244698,0.9816506815244104,0.977461229212767,0.9662995778948713,0.9643672116487002,0.965687466172692,0.9708268028626135,0.9666551329956141,0.9808213867471767,0.9664948470716616,0.9569201694290057,0.9602719570738824,0.9570059383373873,0.9541889251252914,0.9522673970156154,0.9411075969593152,0.9597407776258394,0.9446043755154929,0.9545652167511023,0.9426699321885921,0.9361460144345994,0.9220618996656623,0.9015678827560394,0.8885886694737727,0.8832088798425946,0.8823601761172318,0.8815750806512931
17-May,-0.012155889118711249,0.989928780329872,0.994882750812543,0.9958608870529786,0.9980785312396231,1.0,0.9932707884947001,0.9923119158625507,0.9924857321058886,0.9943136735110395,0.993794903787683,0.9943850238408589,0.9922215209832608,0.9937762928134071,0.9905060510976763,0.992409472457403,0.9932086073675616,0.9915072695290277,0.9950626478589585,0.9934683159503708,0.9864420858514595,0.9874368982247153,0.9913772115268294,0.9907287631438143,0.9920319992767802,0.9898621497769173,0.9891221037841011,0.9879004937991608,0.993926966166254,0.9899395128142073,0.9876754052221112,0.9891976088599936,0.9908899429939223,0.991739487446701,0.9927379272758863,0.9920209234125026,0.9912474318402599,0.9932058227662192,0.9948230290303296,0.987693426189718,0.936003155378543,0.8967609249722066,0.9294811055256305,0.9487677682266904,0.9398218208333997,0.9489055267843107,0.9401585240243875,0.9604048307188221,0.9537787833977512,0.957778729112111,0.9675604621323756,0.9792125649097729,0.9699166494302274,0.9793733525881878,0.9809064096371753,0.9803625414176174,0.9750077067777758,0.9642846847738085,0.971996350816279,0.9693938703864404,0.9820081835834419,0.9826996269825543,0.9886524858878434,0.9858620925333805,0.9808073984072191,0.987448580223425,0.9855085287011524,0.9811264933783855,0.9771106494630282,0.9673810565005773,0.9660153493951531,0.9679367338206255,0.9742450938575676,0.9702807514258881,0.9818128782775053,0.9693441005169889,0.9608221141994145,0.9638038331875467,0.9604799643489473,0.9581022822051916,0.956014239315159,0.9462197364899951,0.9640220269826493,0.9509015875314034,0.9605634145164605,0.9485832623645031,0.9425149389499902,0.929138365404243,0.9089063663998763,0.8971758427979105,0.8917042925005562,0.8899918154676358,0.8870443820101671
17-Jun,0.0008317008183909098,0.984731527759631,0.9920309995634161,0.99337088303163,0.9940394304475081,0.9932707884947001,1.0,0.9949975714884531,0.9917497357646659,0.9954041008289558,0.9900375601817358,0.9892411044301763,0.9827254346075228,0.9898685142709599,0.9862700198930572,0.9887162078551113,0.9895203407556366,0.9879542221130538,0.9919662056105887,0.9907097413563957,0.9876593359080785,0.9896544332152662,0.9918449641959003,0.989511547326038,0.987682995471164,0.9865449523870758,0.9843027831682883,0.9839988862333684,0.9887232360402627,0.9835633654937616,0.9801197756688651,0.9831555462337709,0.9875072343339402,0.9880880617015553,0.9902796154122019,0.9879319863316488,0.9864611382175568,0.9882393848800863,0.9892968039856735,0.9808353422337157,0.9259267609236207,0.8831312990071126,0.9160430093891605,0.9392800998485087,0.9300972259953479,0.9432572270872376,0.9327627584452325,0.9520872396437219,0.9395834189781602,0.9421090362750915,0.9534514241591961,0.9697558366104528,0.9571465356128859,0.9720800371996786,0.9794349882250247,0.979572413069373,0.9775518508856196,0.9700449325647837,0.9758622382148902,0.9733441929151246,0.9810856082015245,0.984477154305467,0.9877451050717985,0.9856659765575772,0.9797175493116408,0.9863679446981013,0.984782021004862,0.9819665759513839,0.9766472098531999,0.9686054080243042,0.9668906181178923,0.9676900271550584,0.9689692424100256,0.9685479975775577,0.980529294468894,0.9696166743108706,0.9635792396066084,0.9665486373008563,0.9625142402984278,0.9559861051660581,0.9569016448958861,0.9469283359583641,0.9633062766766686,0.9488527779169728,0.9542135788708436,0.9482732960891067,0.9445177404158115,0.9317108869344617,0.9145808209223171,0.9045531596297991,0.9004042633508436,0.8984198016430583,0.8968413975517957
17-Jul,-0.002878443357043167,0.9826041810115449,0.9890831068011708,0.9918920892737813,0.9947303891995428,0.9923119158625507,0.9949975714884531,1.0,0.9974614838343694,0.9980441698583777,0.9941758040324307,0.9921198023242906,0.9864033587825733,0.9894893249326185,0.9882847873721794,0.9890536013639343,0.9898039518951476,0.9865994996008258,0.9911376737149757,0.9939776996088028,0.9940085247119074,0.9924341911794022,0.9946743434429185,0.9922540069607604,0.9893261514376617,0.9890353603812476,0.9871280488215858,0.9848363921271469,0.9892780094164243,0.9788094734313062,0.9751089546343442,0.982766872776576,0.9926072429972717,0.9938000399056626,0.9925259808793593,0.9918837438335539,0.9883419224775188,0.990307706948746,0.9893293476662602,0.9806454072390238,0.9229528850827765,0.8813696101316214,0.9182100471765134,0.9432619228303706,0.9388687906506532,0.9484576358276423,0.9363674571141343,0.9534434189295352,0.9422899098775562,0.9484183903704941,0.9568390292584966,0.971541182852629,0.9578040553961723,0.969312286943617,0.9773448652579751,0.9803654711481051,0.9795492401461445,0.9697751175105723,0.9775250324561109,0.9733277521081876,0.9822147564957536,0.984147525734021,0.9903177126979167,0.9868491267262701,0.9809733009141175,0.9874497480012177,0.9859140023873931,0.9854994697135022,0.9824846855179512,0.9716894042363214,0.9698136697430975,0.9695262723500885,0.9714813311139902,0.9681328520781032,0.9813762586356278,0.9688748844935433,0.9618686569041823,0.9636362777938157,0.9622905007743369,0.9582056847628109,0.9601215784813668,0.9469964678713327,0.9632589367169473,0.9473671764407786,0.9527435530736404,0.9437262533612244,0.9383207928636186,0.9241683555942644,0.9078556616079116,0.8953687648970383,0.8913709937321714,0.8945129452324708,0.8976008357771702
17-Aug,-0.005820043285712772,0.9850602852442046,0.989617293687514,0.9926721650817332,0.9948190830470992,0.9924857321058886,0.9917497357646659,0.9974614838343694,1.0,0.9974220003583781,0.9946124927231663,0.9925351494391371,0.9884325155303126,0.9897243010705902,0.9881397025384401,0.9886100654780884,0.9900448453120392,0.9869916080011265,0.9909665970085619,0.9940400392490424,0.9937207101995491,0.9900231091824759,0.9931399952991778,0.9913763068400657,0.9898319613877766,0.9901957970041921,0.9885654403600291,0.9851820996697649,0.9898737923567867,0.9791493838719219,0.9759038355494786,0.9840304424472595,0.9939565570527906,0.9935140710603438,0.9922283813935059,0.9913968318160973,0.9884688175504496,0.9902334711841944,0.9903337017303935,0.9796668840948985,0.9181786077649803,0.875564384825496,0.9160763701594082,0.9402711521874475,0.9362004443573798,0.9436881731019732,0.9331989645811903,0.951932402408745,0.9435523845318424,0.9503657325668641,0.9589767703447851,0.9724490093398735,0.9582736880177152,0.9681027528815287,0.9749941887741095,0.9777699213915347,0.9773200798109208,0.9671708106883282,0.9739000850072055,0.9692754294720078,0.9811384865988231,0.9820722420951594,0.9884749350551904,0.9840184383002903,0.9778860752645324,0.9854539281498728,0.9832690519342773,0.9833513966329988,0.9811292570594167,0.9684553032476081,0.9664360697095841,0.9656011678439911,0.9689450455012099,0.9650279179525363,0.9782052697028435,0.9643353469211204,0.9568460526215161,0.9586046376559545,0.9574610077668974,0.9562608558823598,0.9545227631060693,0.942833493953465,0.9604362783890361,0.9435549069774747,0.9495395328980542,0.9395276854705792,0.9321418284179509,0.9162823116839557,0.8985750784345479,0.8842974138736458,0.8798095824641798,0.8836832145772441,0.8867446182332785
17-Sep,-0.005214818376858983,0.9872861799279368,0.9928663805433692,0.9951651871103827,0.9967991914883458,0.9943136735110395,0.9954041008289558,0.9980441698583777,0.9974220003583781,1.0,0.9959743020234056,0.9948399090198132,0.9888463024273825,0.9929164378676382,0.9911104908096985,0.9926280944639384,0.9933070994404956,0.9914145590251955,0.9952446218397953,0.9964385080580543,0.9953933138518056,0.9938984582271313,0.9967831264502397,0.9945405647069989,0.9927174059437608,0.9919230501063039,0.9903792109366648,0.9887340718132391,0.992559928114343,0.9847147616449964,0.9809098049457875,0.9871119412420183,0.9953114878675902,0.9953129468500023,0.9946684855831411,0.9938111680677469,0.9906957649359122,0.9925839794100311,0.9924646107893083,0.9821211853649698,0.9240653672481937,0.8821114169720979,0.9188454266992138,0.9421753078952322,0.9344127708212495,0.9449394527926305,0.93330451600165,0.9532411908787874,0.9428903976135254,0.9478310189175984,0.9571613556627725,0.9717744210925896,0.9586524674057463,0.97106334551975,0.9776984930982172,0.9796182219685561,0.9783052556662163,0.9706046544861502,0.9774686116518538,0.9731781633435425,0.9833323323817359,0.985373253658084,0.9911290512408604,0.9879462272116503,0.9816731322050302,0.9887771834210367,0.9869342878072396,0.9860129054126451,0.9818616791908581,0.9721019346843982,0.9705014158984524,0.970108098399205,0.9720807931484597,0.9689589278023754,0.9828388555055009,0.9704674749374465,0.9622897480781755,0.9643337880291747,0.9619398593448093,0.9588667784218552,0.9564395746747054,0.9467717208194053,0.9635075990260471,0.9471308001037477,0.9538409326607209,0.9446103774008654,0.9389043276733186,0.9249188255273733,0.9065357143631767,0.8938931380703244,0.8891941895362094,0.8902605278357019,0.89118547616933
